"Accuracy","Precision","Recall","F1_Score","AUC_ROC","AUC_PR","classifier","dataset","model","method"
0.997429305912596,1,0.994858611825193,0.997422680412371,0.998658480977525,0.997328770455772,"Random Forest","book","Deepseek","beam (50)"
0.996143958868895,0.997422680412371,0.994858611825193,0.996138996138996,0.999781920552997,0.999774485598191,"Logistic Regression","book","Deepseek","beam (50)"
0.996143958868895,0.997422680412371,0.994858611825193,0.996138996138996,0.999686097765677,0.99968996497423,"Naive Bayes","book","Deepseek","beam (50)"
0.99125,0.994962216624685,0.9875,0.991217063989962,0.997940625,0.996412393639778,"Random Forest","wikinews","Deepseek","beam (50)"
0.99375,0.997481108312343,0.99,0.993726474278545,0.99948125,0.999472604021532,"Logistic Regression","wikinews","Deepseek","beam (50)"
0.99,0.99,0.99,0.99,0.99945,0.999440640700901,"Naive Bayes","wikinews","Deepseek","beam (50)"
1,1,1,1,1,1,"Random Forest","wikitext","Deepseek","beam (50)"
1,1,1,1,1,1,"Logistic Regression","wikitext","Deepseek","beam (50)"
1,1,1,1,1,1,"Naive Bayes","wikitext","Deepseek","beam (50)"
0.997429305912596,1,0.994858611825193,0.997422680412371,0.999980174595727,0.999980148981764,"Random Forest","book","Deepseek","beam (20)"
0.997429305912596,1,0.994858611825193,0.997422680412371,0.999960349191454,0.999960348578683,"Logistic Regression","book","Deepseek","beam (20)"
0.998714652956298,1,0.997429305912596,0.998712998712999,1,1,"Naive Bayes","book","Deepseek","beam (20)"
0.99625,0.99749373433584,0.995,0.996245306633292,0.998515625,0.997091500636829,"Random Forest","wikinews","Deepseek","beam (20)"
0.99625,0.99749373433584,0.995,0.996245306633292,0.99789375,0.995792636480573,"Logistic Regression","wikinews","Deepseek","beam (20)"
0.995,0.995,0.995,0.995,0.99805,0.99653219757101,"Naive Bayes","wikinews","Deepseek","beam (20)"
1,1,1,1,1,1,"Random Forest","wikitext","Deepseek","beam (20)"
1,1,1,1,1,1,"Logistic Regression","wikitext","Deepseek","beam (20)"
0.99618320610687,1,0.99236641221374,0.996168582375479,1,1,"Naive Bayes","wikitext","Deepseek","beam (20)"
1,1,1,1,1,1,"Random Forest","book","Deepseek","beam (5)"
0.998714652956298,1,0.997429305912596,0.998712998712999,1,1,"Logistic Regression","book","Deepseek","beam (5)"
0.998714652956298,1,0.997429305912596,0.998712998712999,1,1,"Naive Bayes","book","Deepseek","beam (5)"
0.99625,1,0.9925,0.996235884567127,0.99699375,0.993987325848394,"Random Forest","wikinews","Deepseek","beam (5)"
0.99375,1,0.9875,0.993710691823899,0.9968375,0.994823816676074,"Logistic Regression","wikinews","Deepseek","beam (5)"
0.99125,0.992481203007519,0.99,0.991239048811014,0.99705,0.995557520899115,"Naive Bayes","wikinews","Deepseek","beam (5)"
1,1,1,1,1,1,"Random Forest","wikitext","Deepseek","beam (5)"
1,1,1,1,1,1,"Logistic Regression","wikitext","Deepseek","beam (5)"
0.998091603053435,0.996197718631179,1,0.998095238095238,0.999912592506264,0.999914389569986,"Naive Bayes","wikitext","Deepseek","beam (5)"
1,1,1,1,1,1,"Random Forest","book","Deepseek","beam (15)"
1,1,1,1,1,1,"Logistic Regression","book","Deepseek","beam (15)"
0.998714652956298,1,0.997429305912596,0.998712998712999,1,1,"Naive Bayes","book","Deepseek","beam (15)"
0.995,0.99748743718593,0.9925,0.994987468671679,0.997825,0.996092312518002,"Random Forest","wikinews","Deepseek","beam (15)"
0.995,0.99748743718593,0.9925,0.994987468671679,0.99988125,0.999881009963613,"Logistic Regression","wikinews","Deepseek","beam (15)"
0.9875,0.989949748743719,0.985,0.987468671679198,0.9996125,0.999616454457643,"Naive Bayes","wikinews","Deepseek","beam (15)"
1,1,1,1,1,1,"Random Forest","wikitext","Deepseek","beam (15)"
1,1,1,1,1,1,"Logistic Regression","wikitext","Deepseek","beam (15)"
0.998091603053435,1,0.99618320610687,0.998087954110899,1,1,"Naive Bayes","wikitext","Deepseek","beam (15)"
1,1,1,1,1,1,"Random Forest","book","Deepseek","beam (10)"
1,1,1,1,1,1,"Logistic Regression","book","Deepseek","beam (10)"
1,1,1,1,1,1,"Naive Bayes","book","Deepseek","beam (10)"
0.99375,1,0.9875,0.993710691823899,0.999075,0.99903194163726,"Random Forest","wikinews","Deepseek","beam (10)"
0.99,1,0.98,0.98989898989899,0.995525,0.991110965991247,"Logistic Regression","wikinews","Deepseek","beam (10)"
0.99375,1,0.9875,0.993710691823899,0.9958875,0.99157373346549,"Naive Bayes","wikinews","Deepseek","beam (10)"
0.998091603053435,1,0.99618320610687,0.998087954110899,1,1,"Random Forest","wikitext","Deepseek","beam (10)"
0.998091603053435,1,0.99618320610687,0.998087954110899,0.998091603053435,0.996197718631179,"Logistic Regression","wikitext","Deepseek","beam (10)"
0.99618320610687,1,0.99236641221374,0.996168582375479,0.999985432084377,0.999985459815204,"Naive Bayes","wikitext","Deepseek","beam (10)"
0.998714652956298,0.997435897435898,1,0.998716302952503,1,1,"Random Forest","book","Deepseek","beam (3)"
0.998714652956298,0.997435897435898,1,0.998716302952503,0.999900872978635,0.999904435115123,"Logistic Regression","book","Deepseek","beam (3)"
0.998714652956298,0.997435897435898,1,0.998716302952503,0.999656359659267,0.999696535414406,"Naive Bayes","book","Deepseek","beam (3)"
0.99875,1,0.9975,0.998748435544431,0.998509375,0.996974671270597,"Random Forest","wikinews","Deepseek","beam (3)"
0.99875,1,0.9975,0.998748435544431,0.99798125,0.995906868498458,"Logistic Regression","wikinews","Deepseek","beam (3)"
0.99875,1,0.9975,0.998748435544431,0.99815625,0.996673694167014,"Naive Bayes","wikinews","Deepseek","beam (3)"
1,1,1,1,1,1,"Random Forest","wikitext","Deepseek","beam (3)"
1,1,1,1,1,1,"Logistic Regression","wikitext","Deepseek","beam (3)"
0.998091603053435,1,0.99618320610687,0.998087954110899,1,1,"Naive Bayes","wikitext","Deepseek","beam (3)"
0.996143958868895,0.997422680412371,0.994858611825193,0.996138996138996,0.999649751191176,0.99966752950332,"Random Forest","book","Deepseek","CS (('0.2', '10'))"
0.992287917737789,0.997402597402597,0.987146529562982,0.992248062015504,0.999590274978357,0.999628938676294,"Logistic Regression","book","Deepseek","CS (('0.2', '10'))"
0.993573264781491,0.994845360824742,0.992287917737789,0.993564993564994,0.999451497148446,0.999522963894274,"Naive Bayes","book","Deepseek","CS (('0.2', '10'))"
0.9525,0.950248756218906,0.955,0.952618453865337,0.99070625,0.98911999451774,"Random Forest","wikinews","Deepseek","CS (('0.2', '10'))"
0.9375,0.983425414364641,0.89,0.934383202099738,0.95600625,0.887075883695988,"Logistic Regression","wikinews","Deepseek","CS (('0.2', '10'))"
0.95875,0.986737400530504,0.93,0.957528957528958,0.9848625,0.976387328942008,"Naive Bayes","wikinews","Deepseek","CS (('0.2', '10'))"
0.984732824427481,0.99609375,0.973282442748092,0.984555984555984,0.995360118874192,0.992494423774195,"Random Forest","wikitext","Deepseek","CS (('0.2', '10'))"
0.982824427480916,0.996078431372549,0.969465648854962,0.982591876208898,0.991069867723326,0.965474200797333,"Logistic Regression","wikitext","Deepseek","CS (('0.2', '10'))"
0.977099236641221,0.996031746031746,0.958015267175573,0.976653696498055,0.991113571470194,0.966334720000275,"Naive Bayes","wikitext","Deepseek","CS (('0.2', '10'))"
0.993573264781491,0.99740932642487,0.989717223650386,0.993548387096774,0.998334666041065,0.996884145897372,"Random Forest","book","Deepseek","CS (('0.2', '3'))"
0.989717223650386,0.994805194805195,0.984575835475578,0.989664082687339,0.993133801653439,0.976408163702562,"Logistic Regression","book","Deepseek","CS (('0.2', '3'))"
